predictor_instances,abs_potential_threshold_steps,Mean,Median,StdDev,Min,Max,SharpeRatio,trading_quantity_per_leverage_factor,sell_opposite_direction_if_no_cash,sell_all_opposite_products_if_no_cash,include_open_leverage_category,precalculate_predictor_observations,leverage_categories,date
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.035, 0.125)",0.0994342663649772,0.0562430820310446,0.2231519235700227,-0.3537013002248819,1.6551501128212434,0.5238790620483683,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.15)",0.0979430024934808,0.0634445018721815,0.2207455999579247,-0.3387966157686239,1.677616786948055,0.5207921780748103,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.15)",0.0942374318724192,0.0564157143475042,0.2114983410706739,-0.3387966053185016,1.5401611046324497,0.52849090002633,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.03, 0.125)",0.0938779725984437,0.0602997959954619,0.2055927683124442,-0.3537012879783562,1.4910864241382973,0.5434199889171296,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1162750837746062,0.0641590235016303,0.2545227839642925,-0.3622941498645509,1.923900109720066,0.5263679329634806,2.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1160306806658627,0.0707286575285671,0.2594169941547445,-0.3623103867360516,2.0110280225998745,0.5085699888779625,3.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.1)",0.1100248230097816,0.0726941327667327,0.2261273992420607,-0.3623103805257874,1.4903825189555346,0.5563740417987446,3.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.1)",0.1088437639774814,0.0633035512200024,0.2455836775356652,-0.3622941557309963,1.9234448289074093,0.5164125634480703,2.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.1)",0.1062279559448221,0.0703730733603258,0.2315460557747946,-0.3659354220200949,1.689165341409361,0.5338308766800066,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1039073135736132,0.070311064685813,0.2076656355720579,-0.3659354184038713,1.154567658647602,0.5847277458649532,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.15)",0.1019478322141742,0.0672993588471757,0.2115575671061861,-0.28319600365381,1.518443526482359,0.5582531411253671,3.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.15)",0.1009360104347228,0.0540753468102206,0.2432101695165818,-0.2831959793878274,2.0297842505428703,0.4809048145049379,3.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.15)",0.0979430024934808,0.0634445018721815,0.2207455999579247,-0.3387966157686239,1.677616786948055,0.5207921780748103,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.15)",0.0942374318724192,0.0564157143475042,0.2114983410706739,-0.3387966053185016,1.5401611046324497,0.52849090002633,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.15)",0.0860335730857472,0.0452868953286535,0.216764804312964,-0.3101303535545247,1.6792975403452373,0.469896431671376,2.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.15)",0.0802246750425014,0.0448392470137293,0.1838907071531462,-0.3101303873152568,1.0794442557981443,0.5234343643146232,2.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1174170570619785,0.0746640639202708,0.2577603361929255,-0.3627105921490894,1.9623854511438807,0.5191970902571165,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1164487917592812,0.0619449683552486,0.2592971870272938,-0.362502698998635,1.936245117332536,0.517402963068021,2.25,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1162750837746062,0.0641590235016303,0.2545227839642925,-0.3622941498645509,1.923900109720066,0.5263679329634806,2.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1160306806658627,0.0707286575285671,0.2594169941547445,-0.3623103867360516,2.0110280225998745,0.5085699888779625,3.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1158795986419903,0.0661963310528789,0.2540715652480648,-0.3620849509390474,1.9022673844359943,0.5264941448027824,1.75,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1147590359378269,0.0784399313548446,0.2321316056439099,-0.3625225526184796,1.479165562127539,0.5670099259144116,2.75,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1107317098224741,0.0619782512295001,0.2487126595851982,-0.3673829212246511,1.8751289778224025,0.5166092964439127,1.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1039073135736132,0.070311064685813,0.2076656355720579,-0.3659354184038713,1.154567658647602,0.5847277458649532,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1016425057578387,0.0627817370201642,0.2115417015071538,-0.3755614608747975,1.2355235260348485,0.564865298699371,1.25,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-25
[LSTM_c2_ValHR0.9857],"(0.0025, 0.04, 0.1)",0.3123026794790693,0.2570108618098034,0.2560586344152325,-0.1188525621967996,1.912026592442861,1.305445326257011,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
[LSTM_c2_ValHR0.9857],"(0.0025, 0.04, 0.1)",0.3123026794790693,0.2570108618098034,0.2560586344152325,-0.1188525621967996,1.912026592442861,1.305445326257011,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
[LSTM_c2_ValHR0.9857],"(0.0025, 0.04, 0.1)",0.3123026794790693,0.2570108618098034,0.2560586344152325,-0.1188525621967996,1.912026592442861,1.305445326257011,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
[LSTM_c2_ValHR0.9857],"(0.0025, 0.04, 0.1)",0.3123026794790693,0.2570108618098034,0.2560586344152325,-0.1188525621967996,1.912026592442861,1.305445326257011,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d2_ValHR0.9541]","(0.0025, 0.04, 0.1)",0.28583802781057704,0.2247446624957546,0.22662182948846674,-0.048852892648278114,1.529904719589354,1.3537566120694409,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d2_ValHR0.9541]","(0.0025, 0.04, 0.1)",0.28583802781057704,0.2247446624957546,0.22662182948846674,-0.048852892648278114,1.529904719589354,1.3537566120694409,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d2_ValHR0.9541]","(0.0025, 0.04, 0.1)",0.28583802781057704,0.2247446624957546,0.22662182948846674,-0.048852892648278114,1.529904719589354,1.3537566120694409,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d3_ValHR0.9904]","(0.0025, 0.04, 0.1)",0.27609472759027986,0.25262935725944996,0.2083112774920814,-0.04983002101375808,1.159212157775304,1.4000621665753685,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d3_ValHR0.9904]","(0.0025, 0.04, 0.1)",0.27609472759027986,0.25262935725944996,0.2083112774920814,-0.04983002101375808,1.159212157775304,1.4000621665753685,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d3_ValHR0.9904]","(0.0025, 0.04, 0.1)",0.27609472759027986,0.25262935725944996,0.2083112774920814,-0.04983002101375808,1.159212157775304,1.4000621665753685,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d1_ValHR0.6036, LSTM_d2_ValHR0.9541]","(0.0025, 0.04, 0.1)",0.2738992956069603,0.25622922249373403,0.2212178062139748,-0.03270175374653504,1.5298724385359417,1.3305655659820408,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d1_ValHR0.6036]","(0.0025, 0.04, 0.1)",0.2635651855224479,0.21046320732980903,0.20299843452064908,-0.07074943115874043,0.95249748539706,1.37477386621805,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d1_ValHR0.6036]","(0.0025, 0.04, 0.1)",0.2635651855224479,0.21046320732980903,0.20299843452064908,-0.07074943115874043,0.95249748539706,1.37477386621805,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d1_ValHR0.6036]","(0.0025, 0.04, 0.1)",0.2635651855224479,0.21046320732980903,0.20299843452064908,-0.07074943115874043,0.95249748539706,1.37477386621805,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c1_ValHR0.8000, LSTM_c2_ValHR0.9857]","(0.0025, 0.04, 0.1)",0.2600705310760443,0.20758223204252282,0.26992007738310614,-0.07784993211726018,2.308832675710201,1.0445933149224669,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c1_ValHR0.8000, LSTM_c2_ValHR0.9857]","(0.0025, 0.04, 0.1)",0.2600705310760443,0.20758223204252282,0.26992007738310614,-0.07784993211726018,2.308832675710201,1.0445933149224669,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c1_ValHR0.8000, LSTM_c2_ValHR0.9857]","(0.0025, 0.04, 0.1)",0.2600705310760443,0.20758223204252282,0.26992007738310614,-0.07784993211726018,2.308832675710201,1.0445933149224669,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c2_ValHR0.9857, LSTM_d2_ValHR0.9541, LSTM_d3_ValHR0.9904]","(0.0025, 0.04, 0.1)",0.25585065097747123,0.22058287687485031,0.2158384663551107,-0.03435044812618815,1.5818328909025288,1.2937682206838466,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
"[LSTM_c1_ValHR0.8000, LSTM_c2_ValHR0.9857, LSTM_d2_ValHR0.9541]","(0.0025, 0.04, 0.1)",0.25192929826352845,0.20898766270456817,0.24850834159326504,-0.07504435890565272,2.006293716336552,1.1022319857326872,2.5,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-09-16
